375,3916
276,2357
731,7099
237,6664
833,9459
432,9064
768,8454
806,1516
635,3010
424,3249
375,1399
493,3731
324,8809
644,2898
703,4959
506,4078
773,1395
59,9352
922,3838
402,3968
46,8941
955,8984
226,7793
55,2757
126,8496
127,7222
249,5559
514,9119
337,1920
566,3272
896,1114
506,4579
320,3685
644,1040
848,1675
534,4703
578,8498
64,2031
246,2291
857,8038
513,1667
963,1326
962,1672
455,4717
551,6873
492,7338
834,4418
300,3270
464,5211
968,3928
933,3395
844,3732
329,4777
146,7742
675,1376
561,6387
430,3989
696,2462
86,5311
81,8926
230,4713
370,7284
479,3664
822,8578
339,6882
683,4158
45,6490
619,1705
675,6473
906,8022
440,6567
376,6587
937,3425
317,5325
224,9850
890,4031
533,2955
563,8048
843,1858
669,7690
23,7777
691,4699
881,9040
926,4582
106,8179
104,7151
77,2321
405,7027
509,7906
698,3087
562,4081
46,4076
887,9294
716,1894
455,6647
452,6185
41,5817
300,2018
338,1204
95,8431
969,6524
977,9009
933,2559
693,6802
616,3683
578,6879
192,6783
511,5812
913,8276
36,7211
25,5735
71,6827
320,9126
82,7786
577,6140
473,9441
153,7781
728,9210
976,1721
257,8535
450,2512
934,1577
962,1117
214,2081
836,7690
483,1609
429,8461
574,6480
213,6576
962,2886
106,9229
488,5597
430,2222
797,8090
641,9252
152,5008
591,7974
745,1817
335,2077
600,1835
933,3557
128,4613
223,5683
55,4528
23,1438
944,5828
772,3946
157,7116
839,3425
108,2633
587,2358
285,1640
603,5502
681,3925
490,4371
491,9613
420,6787
860,6952
505,4644
433,9343
448,5212
754,3691
808,5967
43,2873
76,8011
871,5634
477,9520
838,2099
415,7265
190,3978
268,5913
191,3155
78,3116
550,3118
743,3116
497,4948
366,5167
682,2801
686,1648
933,9585
972,6406
881,1871
985,4041
331,4972
376,8480
873,2099
85,8903
587,9896
543,7622
590,2741
736,7391
806,2922
763,9479
493,9013
446,7489
466,5608
509,7280
12,2365
301,2162
828,3825
943,2809
24,4019
720,8047
360,9615
841,1427
479,3762
794,1837
699,4798
149,3330
974,4928
358,6061
967,1527
944,4054
264,7706
978,9614
891,7247
41,8494
658,8361
511,3102
970,8971
325,4730
311,7444
232,4971
792,1864
468,1139
799,6578
518,4579
952,7640
832,8330
123,9013
198,2914
715,4737
949,3629
536,6559
509,8108
25,2533
736,7135
853,6316
494,6046
618,2376
960,3589
895,9791
739,4803
359,5097
207,6266
760,3762
9,6552
571,8074
593,2622
25,5089
146,6328
310,4125
489,1791
373,9360
917,8029
980,2613
79,6461
973,3482
72,6647
277,1318
579,1939
522,4311
604,5595
700,7466
622,7867
917,9004
273,6574
411,6828
866,1712
693,7793
683,5302
488,3634
297,9090
594,1423
705,4167
479,6281
230,7135
765,4011
542,6934
469,1640
786,3330
663,9724
407,1721
616,9887
966,9422
503,3819
13,6574
651,1442
751,2479
766,5520
479,6623
467,3796
324,4956
403,5256
658,2613
132,5369
125,7271
137,6979
386,4239
96,5106
748,4498
240,7719
461,8316
287,9119
207,3087
790,7129
431,3848
121,3435
819,6269
536,2071
668,3080
540,4798
897,3532
198,2960
344,1423
23,3638
904,2129
392,7891
948,3785
636,6833
600,1617
412,4867
264,3811
813,3664
180,2922
824,2685
141,7210
732,7446
265,4830
278,7809
720,1247
520,5794
651,9387
296,8938
203,1547
995,1740
800,7605
883,6937
382,9223
55,4798
70,6836
461,5606
243,7044
169,6664
772,4688
177,9928
411,7251
250,6718
481,9210
404,4490
752,8594
789,3504
387,3636
587,3989
744,5160
684,8751
511,3674
129,2693
263,8503
213,5665
489,1049
552,2164
646,5878
1000,5248
771,5523
854,2413
607,6757
321,5302
592,2308
516,2922
887,7032
482,7667
464,5159
929,8868
450,8502
627,4882
277,9203
180,1264
772,3092
420,3234
898,8314
252,7347
901,1279
139,2554
163,2462
127,2338
885,9269
696,8526
191,4867
248,6587
633,5256
15,2424
513,8780
219,2792
124,1788
700,7800
3,4644
649,8721
599,9177
970,5356
763,6609
168,1919
162,5606
152,6207
245,3077
813,8184
4,2613
140,3176
828,3314
907,6952
461,1942
446,4112
73,8151
597,8471
351,7032
966,2312
381,4955
13,6865
697,9700
